Plot_ID,Species,Seedlings_2015,Saplings_2015,,,,,
A1,QUVE,3,,,,,,
A1,DIVI,2,,,,,,
A1,CAGL,2,,,,,,
A1,NYSY,5,,,,,,
A1,QURU,2,,,,,,
A1,CATO,1,,,,,,
A2,FRCA,1,,,,,,
A2,CAGL,2,,,,,,
A2,QUAL,15,,,,,,
A3,CATO,4,,,,,,
A3,QURU,1,,,,,,
A3,CAGL,6,,,,,,
A3,QUAL,12,,,,,,
A3,CAAM,1,,,,,,
A3,VAAR,,1,,,,,
A4,QURU,3,,,,,,
A4,QUAL,1,,,,,,
A4,CATO,9,,,,,,
A4,QUVE,2,,,,,,
A4,NYSY,2,,,,,,
A4,CAGL,4,,,,,,
A5,CATO,7,,,,,,
A5,CEOC,1,,,,,,
A5,FRCA,1,,,,,,
A5,QUAL,2,,,,,,
A5,CAFL,2,,,,,,
A5,QUST,3,,,,,,
A6,QUVE,4,,,,,,
A6,CATO,1,,,,,,
A6,QUST,1,,,,,,
A6,NYSY,1,,,,,,
A6,QUAL,2,,,,,,
A6,AEPA,1,,,,,,
A7,DIVI,2,,,,,,
A7,CAGL,1,,,,,,
A7,QUAL,6,,,,,,
A7,QURU,2,,,,,,
A8,AEPA,2,,,,,,
A8,QUAL,10,,,,,,
A8,CAGL,4,,,,,,
A8,QURU,3,,,,,,
A8,QUVE,3,,,,,,
A8,DIVI,3,,,,,,
A8,CATO,1,,,,,,
A9,QUAL,7,1,,,,,
A9,DIVI,1,2,,,,,
A9,Cratagus spp.,,1,,,,,
A9,CAGL,5,,,,,,
A10,QUAL,9,,,,,,
A10,FRPE,1,,,,,,
A10,CAGL,2,,,,,,
A10,VAAR,1,1,,,,,
B1,QUAL,3,,,,,,
B1,CAAM,1,,,,,,
B1,CAGL,1,,,,,,
B1,NYSY,3,1,,,,,
B1,DIVI,1,,,,,,
B1,FRCA,7,,,,,,
B1,TIAM,2,1,,,,,
B2,FRCA,1,3,,,,,
B2,CAGL,2,,,,,,
B2,QUAL,2,,,,,,
B2,QUVE,1,,,,,,
B2,DIVI,2,,,,,,
B2,CAAM,1,1,,,,,
B2,CEOC,1,,,,,,
B3,CATO,2,,,,,,
B3,QUAL,4,,,,,,
B3,CAGL,4,,,,,,
B3,CEOC,1,,,,,,
B3,FRCA,4,1,,,,,
B3,NYSY,2,,,,,,
B4,CATO,11,,,,,,
B4,CAGL,2,,,,,,
B4,AEPA,1,,,,,,
B4,QUAL,1,,,,,,
B4,RHCA,3,1,,,,,
B4,QUVE,1,,,,,,
B5,CEOC,3,,,,,,
B5,FRCA,7,1,,,,,
B5,NYSY,2,,,,,,
B5,CATO,3,,,,,,
B5,QUAL,2,,,,,,
B5,CAGL,1,,,,,,
B5,AEPA,1,,,,,,
B5,QUST,1,,,,,,
B6,CAFL,4,,,,,,
B6,DIVI,1,,,,,,
B6,QUVE,3,,,,,,
B6,CAGL,2,,,,,,
B6,ASTR,1,,,,,,
B6,AEPA,1,,,,,,
B6,CEOC,1,,,,,,
B6,NYSY,3,,,,,,
B6,CAAM,3,,,,,,
B7,PITA,1,,,,,,
B7,QUAL,12,,,,,,
B7,QUVE,2,,,,,,
B7,CAGL,2,,,,,,
B7,CEOC,1,,,,,,
B7,QURU,1,,,,,,
B7,CATO,1,1,,,,,
B7,CAFL,1,,,,,,
B7,RHCA,1,,,,,,
B8,FRPE,1,,,,,,
B8,PRAL,1,,,,,,
B8,CATO,2,,,,,,
B8,QUAL,9,,,,,,
B8,QURU,1,,,,,,
B8,COFL,1,,,,,,
B8,QUFA,1,,,,,,
B9,QUAL,10,,,,,,
B9,RHCA,2,,,,,,
B9,CAGL,1,,,,,,
B9,NYSY,3,1,,,,,
B9,VAAR,,1,,,,,
B9,CAAM,3,1,,,,,
B10,QUAL,14,,,,,,
B10,CAAM,1,,,,,,
B10,CAGL,1,,,,,,
B10,CEOC,1,,,,,,
C1,CEOC,1,,,,,,
C1,FRCA,9,,,,,,
C1,CAGL,4,,,,,,
C1,NYSY,2,,,,,,
C1,DIVI,1,,,,,,
C1,CAFL,2,,,,,,
C1,QUAL,1,,,,,,
C1,QURU,1,,,,,,
C2,DIVI,,1,,,,,
C2,CEOC,2,,,,,,
C2,CAGL,10,,,,,,
C2,QUAL,3,,,,,,
C2,FRCA,6,,,,,,
C3,FRCA,19,1,,,,,
C3,QUAL,10,,,,,,
C3,CAGL,4,,,,,,
C3,CEOC,1,,,,,,
C3,DIVI,1,,,,,,
C4,CAGL,8,,,,,,
C4,CATO,1,,,,,,
C4,QUAL,19,,,,,,
C4,RHCA,8,,,,,,
C4,QURU,1,,,,,,
C5,QUAL,27,,,,,,
C5,CAGL,4,,,,,,
C5,RHCA,1,,,,,,
C5,ASTR,2,,,,,,
C5,QUVE,1,,,,,,
C5,CEOC,1,,,,,,
C5,DIVI,2,,,,,,
C6,QUAL,58,1,,,,,
C6,CAGL,6,,,,,,
C6,RHCA,5,,,,,,
C6,FRPE,,1,,,,,
C6,CEOC,1,,,,,,
C6,CAAM,1,,,,,,
C6,CAFL,2,,,,,,
C7,CAGL,3,,,,,,
C7,QUAL,31,,,,,,
C7,NYSY,2,,,,,,
C7,DIVI,1,2,,,,,
C7,CATO,1,,,,,,
C8,CAGL,2,,,,,,
C8,QURU,1,,,,,,
C8,QUAL,2,,,,,,
C8,NYSY,2,,,,,,
C8,CATO,2,,,,,,
C8,QUVE,4,,,,,,
C8,RHCA,1,,,,,,
C9,QUAL,10,,,,,,
C9,DIVI,1,,,,,,
C9,CAGL,1,,,,,,
C9,CATO,1,,,,,,
C9,NYSY,4,1,,,,,
C9,QUVE,2,,,,,,
C9,QURU,1,,,,,,
C9,RHCA,1,,,,,,
C9,Cratagus spp.,,1,,,,,
C9,CEOC,1,,,,,,
C10,ACRU,1,,,,,,
C10,QURU,1,,,,,,
C10,QUAL,6,,,,,,
C10,NYSY,1,,,,,,
C10,CAFL,1,,,,,,
C10,ASTR,1,,,,,,
C10,CAGL,3,,,,,,
D1,DIVI,1,,,,,,
D1,CAFL,2,,,,,,
D1,QUVE,1,,,,,,
D1,QUAL,5,,,,,,
D1,CEOC,10,,,,,,
D1,RHCA,1,,,,,,
D1,CAGL,2,,,,,,
D1,CAAM,,1,,,,,
D1,TIAM,1,,,,,,
D2,ASTR,7,,,,,,
D2,OXAR,,3,,,,,
D2,RHCA,5,,,,,,
D2,QUAL,3,,,,,,
D2,DIVI,1,,,,,,
D2,CAFL,3,,,,,,
D2,NYSY,2,1,,,,,
D2,CEOC,2,,,,,,
D2,CAGL,5,,,,,,
D2,QUVE,1,,,,,,
D2,CAAM,1,,,,,,
D3,RHCA,3,1,,,,,
D3,QUAL,13,1,,,,,
D3,QUFA,3,,,,,,
D3,CATO,1,,,,,,
D3,CEOC,3,,,,,,
D3,CAGL,7,,,,,,
D3,DIVI,1,,,,,,
D4,QUAL,68,,,,,,
D4,QURU,1,,,,,,
D4,CAGL,7,,,,,,
D4,CEOC,1,,,,,,
D4,CATO,1,,,,,,
D4,TIAM,2,,,,,,
D5,QUAL,36,,,,,,
D5,ASTR,1,,,,,,
D5,CATO,2,,,,,,
D5,NYSY,1,,,,,,
D5,QURU,1,,,,,,
D5,FRPE,1,,,,,,
D6,QUAL,28,,,,,,
D6,CEOC,1,,,,,,
D6,ACRU,1,,,,,,
D6,CAGL,1,,,,,,
D6,CATO,1,,,,,,
D6,QURU,1,,,,,,
D7,Cratagus spp.,,2,,,,,
D7,QUAL,49,,,,,,
D7,CAFL,3,,,,,,
D7,CATO,1,,,,,,
D7,CAGL,2,,,,,,
D7,QUVE,1,,,,,,
D7,AEPA,1,,,,,,
D8,QUAL,15,,,,,,
D8,CEOC,5,,,,,,
D8,RHCA,3,,,,,,
D8,CAGL,2,,,,,,
D8,QUVE,1,,,,,,
D8,ASTR,1,,,,,,
D9,QUAL,27,,,,,,
D9,QUST,2,,,,,,
D9,AEPA,,1,,,,,
D9,PRUM,1,,,,,,
D10,QUAL,23,,,,,,
D10,QUVE,1,,,,,,
D10,CAGL,6,,,,,,
D10,NYSY,1,,,,,,
E1,QUAL,6,1,,,,,
E1,TIAM,1,,,,,,
E1,CAGL,2,,,,,,
E1,ASTR,4,,,,,,
E1,CATO,2,,,,,,
E1,CEOC,4,,,,,,
E1,QUVE,1,,,,,,
E1,DIVI,1,,,,,,
E1,HACA,3,,,,,,
E2,QUAL,5,,,,,,
E2,DIVI,1,,,,,,
E2,CAGL,3,,,,,,
E2,TIAM,5,,,,,,
E2,QUVE,1,,,,,,
E2,CAAM,1,,,,,,
E3,CAAM,2,,,,,,
E3,CAGL,2,,,,,,
E3,HACA,1,1,,,,,
E3,QUVE,1,,,,,,
E3,QUAL,2,,,,,,
E3,RHCA,,3,,,,,
E3,DIVI,3,,,,,,
E4,HYAR,1,,,,,,
E4,QUAL,22,,,,,,
E4,CAGL,7,,,,,,
E4,QUVE,2,,,,,,
E4,CEOC,1,,,,,,
E4,RHCA,1,,,,,,
E4,SAAL,1,,,,,,
E5,QUAL,15,,,,,,
E5,CAGL,3,,,,,,
E5,SAAL,10,,,,,,
E5,QURU,1,,,,,,
E5,TIAM,1,,,,,,
E5,ASTR,2,,,,,,
E5,CATO,1,,,,,,
E5,CAAM,,3,,,,,
E6,QUAL,27,,,,,,
E6,CAGL,3,,,,,,
E6,ASTR,1,,,,,,
E6,CAAM,3,,,,,,
E7,QUAL,28,,,,,,
E7,CATO,2,,,,,,
E7,TIAM,2,,,,,,
E8,QUAL,25,,,,,,
E8,QUFA,1,,,,,,
E8,NYSY,1,,,,,,
E8,QURU,1,,,,,,
E8,CAAM,1,1,,,,,
E8,CAGL,3,,,,,,
E8,CATO,3,,,,,,
E8,QUVE,2,,,,,,
E8,RHCA,1,,,,,,
E8,CEOC,1,,,,,,
E8,DIVI,4,,,,,,
E8,LITU,1,,,,,,
E9,QUVE,1,,,,,,
E9,NYSY,1,,,,,,
E9,QUAL,31,2,,,,,
E9,QUFA,2,,,,,,
E9,CAFL,1,,,,,,
E10,QUAL,19,,,,,,
E10,CATO,1,,,,,,
E10,Cratagus spp.,4,,,,,,
E10,CEOC,1,,,,,,
E10,DIVI,1,,,,,,
F1,QUAL,6,,,,,,
F1,CAFL,1,,,,,,
F1,QUVE,4,,,,,,
F1,HACA,1,5,,,,,
F1,CAGL,1,,,,,,
F1,ASTR,2,,,,,,
F1,CEOC,1,,,,,,
F2,CATO,1,,,,,,
F2,QUAL,28,,,,,,
F2,ASTR,8,,,,,,
F2,HACA,2,2,,,,,
F2,CAFL,1,,,,,,
F3,LITU,,1,,,,,
F3,QUAL,4,,,,,,
F3,HACA,8,5,,,,,
F3,CEOC,,1,,,,,
F3,QURU,1,,,,,,
F3,QUFA,1,,,,,,
F4,QUAL,9,,,,,,
F4,CAFL,1,,,,,,
F4,SAAL,2,,,,,,
F4,CAGL,6,,,,,,
F4,Cratagus spp.,1,,,,,,
F4,CAAM,1,3,,,,,
F4,QUCO,1,,,,,,
F4,CATO,1,,,,,,
F4,CEOC,1,,,,,,
F4,TIAM,1,,,,,,
F4,ASTR,1,,,,,,
F4,CHVI,,1,,,,,
F5,QUAL,9,,,,,,
F5,ASTR,1,,,,,,
F5,DIVI,1,,,,,,
F5,QURU,1,,,,,,
F5,CAAM,3,1,,,,,
F5,CAGL,1,,,,,,
F5,SAAL,3,,,,,,
F5,CEOC,2,,,,,,
F6,QUAL,10,,,,,,
F6,CAFL,1,,,,,,
F6,NYSY,1,,,,,,
F6,CAGL,3,,,,,,
F6,CATO,1,,,,,,
F6,CAAM,1,,,,,,
F6,QURU,1,,,,,,
F7,ASTR,5,,,,,,
F7,QUAL,1,,,,,,
F8,RHCA,2,,,,,,
F8,CEOC,1,,,,,,
F8,QUVE,2,,,,,,
F9,Cratagus spp.,,2,,,,,
F9,CAGL,6,,,,,,
F9,QUAL,11,,,,,,
F9,QURU,1,,,,,,
F9,QUVE,1,,,,,,
F9,CATO,1,,,,,,
F9,CEOC,1,,,,,,
F10,CAFL,2,,,,,,
F10,QUAL,10,,,,,,
F10,CATO,1,,,,,,
G1,CAGL,3,,,,,,
G1,HACA,2,6,,,,,
G1,DIVI,1,,,,,,
G1,QUAL,1,,,,,,
G1,ASTR,1,,,,,,
G1,CATO,1,,,,,,
G1,QUVE,1,,,,,,
G2,QUAL,30,,,,,,
G2,DIVI,1,,,,,,
G2,QUFA,1,,,,,,
G2,HACA,5,3,,,,,
G2,CATO,3,,,,,,
G2,TIAM,1,,,,,,
G2,CAGL,1,,,,,,
G3,QUAL,19,,,,,,
G3,HACA,16,15,,,,,
G3,CAFL,1,,,,,,
G3,PRAL,,1,,,,,
G4,TIAM,1,,,,,,
G4,QUAL,9,,,,,,
G4,CEOC,2,1,,,,,
G4,CAGL,2,,,,,,
G4,HACA,1,,,,,,
G4,CATO,1,,,,,,
G4,QURU,1,,,,,,
G4,RHCA,3,2,,,,,
G4,TIAM,2,,,,,,
G5,DIVI,1,,,,,,
G5,HACA,1,,,,,,
G5,QUAL,3,,,,,,
G5,HYAR,4,,,,,,
G5,CAGL,1,,,,,,
G6,FRPE,1,1,,,,,
G6,CEOC,7,,,,,,
G6,QUAL,5,,,,,,
G6,HYAR,3,,,,,,
G6,PITA,1,,,,,,
G6,DIVI,1,1,,,,,
G6,ASTR,2,,,,,,
G6,SAAL,2,,,,,,
G7,QUVE,1,,,,,,
G7,QUAL,9,,,,,,
G7,QUST,2,,,,,,
G7,CEOC,,1,,,,,
G7,TIAM,1,,,,,,
G7,DIVI,1,,,,,,
G7,CAAM,,3,,,,,
G8,CEOC,3,,,,,,
G8,QUAL,11,,,,,,
G8,ASTR,5,,,,,,
G8,QUFA,1,,,,,,
G8,QURU,1,,,,,,
G8,TIAM,1,,,,,,
G8,QUVE,2,,,,,,
G8,QUNI,1,,,,,,
G9,ASTR,3,,,,,,
G9,QUVE,2,3,,,,,
G9,DIVI,1,,,,,,
G9,QUAL,3,,,,,,
G9,CATO,2,,,,,,
G9,CEOC,2,,,,,,
G9,TIAM,1,,,,,,
G9,HAVI,5,,,,,,
G9,VIAC,11,,,,,,
G9,FRPE,2,,,,,,
G10,CATO,6,,,,,,
G10,QUAL,20,,,,,,
G10,QUVE,2,,,,,,
G10,HAVI,5,1,,,,,
G10,HYAR,1,,,,,,
G10,DIVI,1,,,,,,
G10,QURU,1,,,,,,
G10,CEOC,2,,,,,,
G10,ASTR,2,,,,,,
G10,FRPE,1,,,,,,
H1,Cratagus spp.,1,,,,,,
H1,QUVE,2,,,,,,
H1,QUAL,4,,,,,,
H1,CAGL,1,,,,,,
H1,QURU,3,,,,,,
H1,DIVI,2,,,,,,
H1,RHCA,,1,,,,,
