1,Plot ID,Species,Distance,Azimuth,DBH_2015,Crown Class_2015,Mode of death 2015,Decay Class2015,DBH_2025,CrownClass_2025,ModeofDeath_2025,DecayClass_2025,Standing_2025,Notes_2025,Crew,Date,,Data Entered,QC
2,A1,FRPE,4.94,3,5.5,,G,1,,,G,1,Fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
3,A1,FRPE,9.07,328,22.0,int2,,,25.1,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
4,A1,QUAL,13.09,350,8.9,OT,,,8.5,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
5,A1,QUAL,11.14,355,16.0,OT,,,,,P,,,Broken below breast height,"Lucy, Tegan",6/16/2025,,EEG,KF
6,A1,QUST,9.2,345,48.0,CD,,,54.9,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
7,A1,QUST,7.25,355,14.0,,P,2,,,P,4,,,"Lucy, Tegan",6/16/2025,,EEG,KF
8,A1,RHCA,3.75,11,11.4,,G,1,5.2,,,,,Species change and mode of death in 2025. 2025 field survey indicated it was wrongly identifed as COFL and dead.,"Lucy, Tegan",6/16/2025,,EEG,KF
9,A10,CAGL,2.6,12,49.5,int2,,,35.9,int2,P,2,,,"Lucy, Tegan",6/16/2025,,EEG,KF
10,A10,COFL,9.98,6,11.3,int1,,,,int1,,,fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
11,A10,COFL,5.49,20,7.3,OT,,,8.7,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
12,A10,COFL,12.13,350,8.8,OT,,,,,,,Fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
13,A10,NYSY,10.39,328,5.1,OT,,,6.8,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
14,A10,QUAL,5.66,304,68.1,D,,,72.6,D,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
15,A2,CATO,7.4,321,34.1,CD,,,38.3,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
16,A2,COFL,3.34,3,6.1,,G,1,,,G,1,fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
17,A2,FRPE,11.23,335,9.8,int1,,,12,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
18,A2,LITU,,,5.5,,G,1,,,G,1,fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
19,A2,N/A,,,32.0,,UR,3,,,UR,3,,,"Lucy, Tegan",6/16/2025,,EEG,KF
20,A2,PITA,,,38.0,,UR,3,,,UR,5,,,"Lucy, Tegan",6/16/2025,,EEG,KF
21,A2,PRAL7,6.41,355,14.3,int2,,,14.6,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
22,A2,QURU,9.98,356,11.6,int2,,,,int2,,,fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
23,A2,RHCA,4.92,9,,,,,6.4,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
24,A3,FRPE,10.52,345,14.8,int2,,,18.8,int2,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
25,A3,LITU,9.59,30,8.2,int1,,,10.6,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
26,A3,LITU,9.28,326,59.1,int3,,,60.3,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
27,A3,RHCA,5.81,321,6.0,OT,,,10.3,int1,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
28,A3,RHCA,8.76,349,5.2,int1,,,,,,,fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
29,A3,VAAR,9.55,5,7.1,int1,,,8,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
30,A4,CATO,10.94,5,45.5,CD,,,47.4,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
31,A4,FRPE,8.27,1,10.3,OT,,,11.5,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
32,A4,FRPE,9.78,342,20.0,int2,,,23.1,int3,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
33,A4,QUAL,5.27,319,18.6,int1,,,18.3,OT,,,,Top is broken but sprouting,"Lucy, Tegan",6/16/2025,,EEG,KF
34,A4,QUAL,10.86,335,6.5,OT,,,,,,,fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
35,A5,PIEC,9.01,309,39.3,CD,,,22.8,CD,P,3,,,"Lucy, Tegan",6/16/2025,,EEG,KF
36,A5,QUST,4.97,2,36.7,CD,,,39.4,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
37,A5,QUST,10.13,357,55.0,CD,,,56,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
38,A5,RHCA,6.12,20,,,,,5.5,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
39,A5,RHCA,5.87,328,10.4,,G,1,9.1,OT,,,,Species change and mode of death change in 2025. 2025 field survey indicated it was wrongly identifed as COFL and dead.,"Lucy, Tegan",6/16/2025,,EEG,KF
40,A5,RHCA,2.56,358,5.8,OT,,,,,,,fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
41,A6,PIEC,7.74,319,51.0,,G,1,37,,P,3,,,"Lucy, Tegan",6/16/2025,,EEG,KF
42,A6,QUAL,8.43,28,16.8,OT,,,17.7,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
43,A6,QUAL,9.69,328,21.6,int1,,,24,INT3,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
44,A7,FRPE,9.51,25,22.2,int3,,,28.5,INT3,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
45,A7,QUAL,8.91,337,20.5,int3,,,22.8,INT3,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
46,A7,QUAL,4.07,344,18.9,int2,,,22.4,INT2,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
47,A7,QUERCUS,,,30.0,,UR,3,,,UR,3,,,"Lucy, Tegan",6/16/2025,,EEG,KF
48,A7,QUVE,8.82,313,32.6,CD,,,36.4,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
49,A7,QUVE,9.82,316,31.3,CD,,,39.4,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
50,A8,FRPE,8.7,2,20.1,int1,,,24.4,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
51,A8,NYSY,8.69,308,7.0,OT,,,8.4,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
52,A8,PIEC,9.89,330,62.2,CD,,,65.4,,G,1,,,"Lucy, Tegan",6/16/2025,,EEG,KF
53,A8,QUAL,7.1,28,39.5,CD,,,44.9,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
54,A8,QUAL,8.8,320,18.6,int2,,,20.6,INT2,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
55,A8,QUAL,8.04,326,19.8,int1,,,22,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
56,A8,QUAL,7.25,355,15.1,,G,2,,,G,,FALLEN,,"Lucy, Tegan",6/16/2025,,EEG,KF
57,A8,QURU,9.61,348,19.7,,P,2,,,P,,Fallen,,"Lucy, Tegan",6/16/2025,,EEG,KF
58,A9,FRPE,10.39,330,13.3,int1,,,17.9,INT1,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
59,A9,PITA,,,25.0,,P,4,,,P,4,FALLEN,,"Lucy, Tegan",6/16/2025,,EEG,KF
60,A9,PITA,,,29.0,,P,3,,,P,3,FALLEN,,"Lucy, Tegan",6/16/2025,,EEG,KF
61,A9,QUAL,10.82,334,9.7,OT,,,11.6,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
62,B1,CAGL,12.38,350,36.6,CD,,,37.7,INT3,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
63,B1,FRPE,6.51,307,21.7,int2,,,24.5,INT2,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
64,B1,NYSY,4.82,4,,,,,5.2,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
65,B1,QUAL,8.95,7,14.3,OT,,,15.5,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
66,B1,QUAL,9.41,315,10.5,OT,,,,,,,FALLEN,,"Lucy, Tegan",6/16/2025,,EEG,KF
67,B1,QUST,9.71,28,26.4,OT,,,26.9,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
68,B1,QUST,6.02,359,28.3,CD,,,27.4,,P,2,,,"Lucy, Tegan",6/16/2025,,EEG,KF
69,B1,TIAM,5.73,341,,,,,7.5,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
70,B10,FRPE,9.03,29,5.9,OT,,,7.2,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
71,B10,FRPE,7.76,335,14.9,int2,,,16.8,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
72,B10,LIST,7.05,347,28.2,CD,,,38,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
73,B10,PITA,4.99,30,24.0,CD,,,26,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
74,B10,QUAL,11.15,5,54.1,D,,,57.3,D,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
75,B10,QUAL,11.92,350,25.6,OT,,,22.3,OT,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
76,B2,FRPE,10.07,340,6.5,OT,,,,,,,FALLEN,,"Lucy, Tegan",6/16/2025,,EEG,KF
77,B2,QUAL,10.36,327,45.5,CD,,,53.7,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
78,B2,QUAL,11.7,354,13.6,OT,,,13.7,,G,1,,,"Lucy, Tegan",6/16/2025,,EEG,KF
79,B2,QUST,5.91,26,28.6,int2,,,29.2,,G,1,,,"Lucy, Tegan",6/16/2025,,EEG,KF
80,B3,CATO,9.22,334,43.4,CD,,,46.9,CD,,,,,"Lucy, Tegan",6/16/2025,,EEG,KF
81,B3,FRPE,9.13,312,11.0,int1,,,,,,,FALLEN,,"Lucy, Tegan",6/16/2025,,EEG,KF
