"","Plot_ID","Species","Seedlings_2015","Saplings_2015","X","X.1","X.2","X.3","X.4","Seedlings_2025","Saplings_2025","Crew","Date","QC","X1"
"1","A1","QUVE",3,NA,NA,NA,NA,NA,NA,1,NA,"Emily, Lilly","7/7/2025","",9
"2","A1","DIVI",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A1","CAGL",2,NA,NA,NA,NA,NA,NA,6,NA,"Emily, Lilly","7/7/2025","KF",2
"4","A1","NYSY",5,NA,NA,NA,NA,NA,NA,5,NA,"Emily, Lilly","7/7/2025","",3
"5","A1","QURU",2,NA,NA,NA,NA,NA,NA,2,NA,"Emily, Lilly","7/7/2025","",7
"6","A1","CATO",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","A2","FRCA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","A2","CAGL",2,NA,NA,NA,NA,NA,NA,6,NA,"Emily, Lilly","7/7/2025","",17
"9","A2","QUAL",15,NA,NA,NA,NA,NA,NA,5,NA,"Emily, Lilly","7/7/2025","",19
"10","A3","CATO",4,NA,NA,NA,NA,NA,NA,4,NA,"Emily, Lilly","7/7/2025","",25
"11","A3","QURU",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","A3","CAGL",6,NA,NA,NA,NA,NA,NA,7,1,"Emily, Lilly","7/7/2025","",27
"13","A3","QUAL",12,NA,NA,NA,NA,NA,NA,22,NA,"Emily, Lilly","7/7/2025","",24
"14","A3","CAAM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","A3","VAAR",NA,1,NA,NA,NA,NA,NA,NA,1,"Emily, Lilly","7/7/2025","",26
"16","A4","QURU",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","A4","QUAL",1,NA,NA,NA,NA,NA,NA,3,NA,"Emily, Lilly","7/7/2025","",34
"18","A4","CATO",9,NA,NA,NA,NA,NA,NA,10,NA,"Emily, Lilly","7/7/2025","",32
"19","A4","QUVE",2,NA,NA,NA,NA,NA,NA,2,NA,"Emily, Lilly","7/7/2025","",31
"20","A4","NYSY",2,NA,NA,NA,NA,NA,NA,1,NA,"Emily, Lilly","7/7/2025","",36
"21","A4","CAGL",4,NA,NA,NA,NA,NA,NA,3,NA,"Emily, Lilly","7/7/2025","",29
"22","A5","CATO",7,NA,NA,NA,NA,NA,NA,7,NA,"Emily, Lilly","7/7/2025","",37
"23","A5","CEOC",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","A5","FRCA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","A5","QUAL",2,NA,NA,NA,NA,NA,NA,2,NA,"Emily, Lilly","7/7/2025","",41
"26","A5","CAFL",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","A5","QUST",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","A6","QUVE",4,NA,NA,NA,NA,NA,NA,2,NA,"Emily, Lilly","7/7/2025","",47
"29","A6","CATO",1,NA,NA,NA,NA,NA,NA,1,NA,"Emily, Lilly","7/7/2025","",43
"30","A6","QUST",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","A6","NYSY",1,NA,NA,NA,NA,NA,NA,1,NA,"Emily, Lilly","7/7/2025","",45
"32","A6","QUAL",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","A6","AEPA",1,NA,NA,NA,NA,NA,NA,6,NA,"Emily, Lilly","7/7/2025","",46
"34","A7","DIVI",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","A7","CAGL",1,NA,NA,NA,NA,NA,NA,1,NA,"Emily, Lilly","7/7/2025","",53
"36","A7","QUAL",6,NA,NA,NA,NA,NA,NA,7,NA,"Emily, Lilly","7/7/2025","",49
"37","A7","QURU",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","A8","AEPA",2,NA,NA,NA,NA,NA,NA,1,NA,"Emily, Lilly","7/7/2025","",61
"39","A8","QUAL",10,NA,NA,NA,NA,NA,NA,10,NA,"Emily, Lilly","7/7/2025","",56
"40","A8","CAGL",4,NA,NA,NA,NA,NA,NA,4,NA,"Emily, Lilly","7/7/2025","",57
"41","A8","QURU",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","A8","QUVE",3,NA,NA,NA,NA,NA,NA,7,NA,"Emily, Lilly","7/7/2025","",55
"43","A8","DIVI",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","A8","CATO",1,NA,NA,NA,NA,NA,NA,1,NA,"Emily, Lilly","7/7/2025","",59
"45","A9","QUAL",7,1,NA,NA,NA,NA,NA,7,2,"Emily, Lilly","7/7/2025","",62
"46","A9","DIVI",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","A9","Cratagus spp.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","A9","CAGL",5,NA,NA,NA,NA,NA,NA,3,NA,"Emily, Lilly","7/7/2025","",63
"49","A10","QUAL",9,NA,NA,NA,NA,NA,NA,18,NA,"Emily, Lilly","7/7/2025","",11
"50","A10","FRPE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","A10","CAGL",2,NA,NA,NA,NA,NA,NA,4,NA,"Emily, Lilly","7/7/2025","",10
