Order,Plot.ID,Species,Species.Group,DBH_2015,DBH_2025,CrownClass_2015,CrownClass_2025,Establishment.Date,Disturbance.Group_3,Disturbance.Group_6,Age_2015,Mingling,1906.Disturbance.Tree,1945.Disturbance.Tree,Disturbances,Disturbance.Frequency,ModeofDeath_2015,ModeofDeath_2025,DecayClass_2015,DecayClass_2025,Standing_2025,Notes_2025,Loss_2015to2025,Distance,Azimuth,Plot.x,Plot.y,Tree.x,Tree.y
1,A1,FRPE,F. pennsylvanica,22,25.1,int2,OT,1927,2,3,NA,1,0,0,NA,NA,,,NA,NA,,,,9.07,328,0,100,8.161911368,96.0442317
2,A1,QUAL,Quercus,8.9,8.5,OT,OT,NA,,,NA,1,0,0,NA,NA,,,NA,NA,,,,13.09,350,0,100,11.82949992,94.39544545
3,A1,QUAL,Quercus,16,NA,OT,,NA,,,NA,0.75,0,0,NA,NA,,P,NA,NA,,Broken below breast height,2,11.14,355,0,100,1.718029362,88.99327591
4,A1,QUST,Quercus,48,54.9,CD,CD,NA,,,82,0.75,0,2,3,0.036585366,,,NA,NA,,,,9.2,345,0,100,6.135623524,93.14477397
5,A10,CAGL,Carya,49.5,35.9,int2,int2,NA,,,NA,1,0,0,NA,NA,,P,NA,2,,,2,2.6,12,90,100,92.35939456,98.90763683
6,A10,COFL,Others (shade tolerant),11.3,NA,int1,,1963,3,5,NA,0.75,0,0,NA,NA,,,NA,NA,FALLEN,,2,9.98,6,90,100,99.86731717,98.50452289
7,A10,COFL,Others (shade tolerant),7.3,8.7,OT,OT,NA,,,NA,1,0,0,NA,NA,,,NA,NA,,,,5.49,20,90,100,91.5571467,94.73545879
8,A10,COFL,Others (shade tolerant),8.8,NA,OT,,NA,,,NA,0.75,0,0,NA,NA,,,NA,NA,FALLEN,,2,12.13,350,90,100,100.961943,94.80647466
9,A10,NYSY,Others (shade intolerant),5.1,6.8,OT,OT,NA,,,NA,1,0,0,NA,NA,,,NA,NA,,,,10.39,328,90,100,99.34975293,95.46853003
10,A10,QUAL,Quercus,68.1,72.6,D,D,1870,1,2,145,1,2,1,5,0.034482759,,,NA,NA,,,,5.66,304,90,100,94.39593519,96.43470144
